2,9,(0, 1, 0)||42
2,2,(0, 0, 1)||424
2,2,(1, 0, 0)||424
2,8,(0, 1, 1)||7
2,10,(1, 1, 0)||255
2,2,(1, 0, 1)||384
2,8,(0, 1, 0)||7
2,2,(0, 0, -1)||424
2,9,(0, 1, 1)||38
2,9,(0, 1, -1)||38
2,2,(1, 0, -1)||384
2,22,(0, 1, 1)||10
2,8,(0, 1, -1)||7
2,22,(0, 1, 0)||11
2,10,(0, 1, 1)||255
2,10,(0, 1, 0)||284
2,22,(0, 1, -1)||10
2,5,(0, 1, 1)||12
2,10,(0, 1, -1)||255
2,5,(0, 1, 0)||12
2,5,(1, 1, 0)||11
2,5,(0, 1, -1)||12
9,0,(0, 1, 0)||34
9,2,(0, -1, 0)||42
9,8,(0, 0, 1)||6
9,10,(1, 0, 0)||38
9,0,(0, 1, 1)||35
9,10,(1, 1, 0)||29
9,2,(0, -1, 1)||38
9,2,(1, -1, 0)||39
9,10,(1, 0, 1)||20
8,0,(0, 1, 0)||7
8,2,(0, -1, 0)||7
8,9,(0, 0, 1)||5
8,9,(0, 0, -1)||6
8,10,(1, 0, 0)||7
8,0,(0, 1, 1)||7
8,0,(0, 1, -1)||5
8,15,(1, 1, 0)||1
8,2,(0, -1, 1)||7
8,2,(0, -1, -1)||7
8,2,(1, -1, 0)||7
8,10,(1, 0, 1)||5
8,10,(1, 0, -1)||6
9,22,(0, 0, 1)||4
9,8,(0, 0, -1)||5
9,0,(0, 1, -1)||35
9,20,(1, 1, 0)||2
9,2,(0, -1, -1)||38
9,10,(1, 0, -1)||21
22,0,(0, 1, 0)||11
22,2,(0, -1, 0)||11
22,10,(0, 0, 1)||10
22,9,(0, 0, -1)||4
22,10,(1, 0, 0)||10
22,10,(0, 1, 1)||5
22,0,(0, 1, -1)||7
22,20,(1, 1, 0)||1
22,2,(0, -1, 1)||10
22,2,(0, -1, -1)||10
22,2,(1, -1, 0)||10
22,10,(1, 0, 1)||5
22,10,(1, 0, -1)||7
10,10,(0, 1, 0)||252
10,2,(0, -1, 0)||284
10,10,(0, 0, 1)||294
